custom/total_distance,custom/avg_center_dev,custom/avg_speed,custom/total_reward,custom/mean_reward,custom/routes_completed,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,train/clip_fraction,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/std,train/explained_variance,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss
28.88564411412517,0.7811929140956385,7.213276975184488,61.74142598280672,0.1387447774894533,0.7435897435897436,,,,,,,,,,,,,,,,,
25.781361621571705,0.568412788623282,8.077641624707061,86.5750040201036,0.22198718979513746,0.11016949152542373,,,,,,,,,,,,,,,,,
,,,,,,416.5,34,74.13614849999999,1,29,1024,,,,,,,,,,,
26.791231811163016,0.8796388549529381,7.113838157863819,55.17650491223107,0.13457684124934408,0.46551724137931033,,,,,,,0.06337890625,0.008605496,10,0.2,-2.8430815294384955,1.0049080848693848,0.09949356317520142,1.6222914360463618,9.9797351809024e-05,-0.008814978215377777,0.2586594820022583
14.756655111443251,0.7554544264101092,7.688241399049439,45.89744976553704,0.19203953876793742,0.027124773960216998,,,,,,,,,,,,,,,,,
,,,,,,370.0,67,62.31648799999999,2,30,2048,,,,,,,,,,,
49.45516756596044,0.6576034999554378,9.668963218018533,138.78174605773728,0.24347674746971454,0.7586206896551724,,,,,,,0.04638671875,0.0039668176,20,0.2,-2.85314277857542,1.0109901428222656,-0.11086249351501465,1.8261794740334154,9.9594911236096e-05,-0.008804023271659389,-0.010348662734031677
22.01865678327158,0.26482433312275283,8.53203443676129,76.56315689118554,0.2658442947610609,0.054502369668246446,,,,,,,,,,,,,,,,,
35.68533793371171,0.5414727652330517,10.903006526722063,97.12260911797961,0.25226651718955745,0.75,,,,,,,,,,,,,,,,,
,,,,,,388.57142857142856,103,80.22265785714286,3,29,3072,,,,,,,,,,,
,,,,,,388.57142857142856,135,80.22265785714286,4,30,4096,0.06806640625,0.007617496,30,0.2,-2.86286404132843,1.0140759944915771,0.41666179895401,2.933370685018599,9.939267828121601e-05,-0.011451100383419543,0.4801866412162781
180.91324734315276,0.5214008794636901,11.98030050044895,601.1376598063623,0.34568008039468795,0.2193627450980392,,,,,,,0.131640625,0.009991663,40,0.2,-2.8692888528108598,1.018233060836792,0.6774218678474426,1.909816439822316,9.9190652944384e-05,-0.01796139363432303,0.20721769332885742
,,,,,,557.25,166,145.331863875,5,30,5120,,,,,,,,,,,
,,,,,,557.25,197,145.331863875,6,31,6144,0.09462890625,0.0064595942,50,0.2,-2.8775042697787283,1.0220613479614258,0.5730946362018585,2.1496764151379466,9.89888352256e-05,-0.013397090788930654,0.1954289972782135
,,,,,,557.25,233,145.331863875,7,30,7168,0.098046875,0.009213993,60,0.2,-2.882868282496929,1.0234488248825073,0.6278027594089508,2.2740955248475077,9.8787225124864e-05,-0.011742674699053168,0.4419722259044647
,,,,,,557.25,266,145.331863875,8,30,8192,0.08173828125,0.010116955,70,0.2,-2.8853266060352327,1.0248987674713135,0.7718152850866318,1.3437948435544969,9.858582264217601e-05,-0.014305051072733476,0.17668218910694122
784.7638304689899,0.4915348578677712,13.137607885018594,1586.329724288309,0.35736195636141227,3.21881390593047,,,,,,,0.0939453125,0.0070985015,80,0.2,-2.8922741070389746,1.030409574508667,0.7452511489391327,1.4455115873366595,9.838462777753601e-05,-0.015069513028720394,0.11654667556285858
,,,,,,988.4444444444445,301,305.4351682222222,9,30,9216,,,,,,,,,,,
,,,,,,988.4444444444445,336,305.4351682222222,10,30,10240,0.112890625,0.010059762,90,0.2,-2.9019485011696817,1.0348671674728394,0.7895926386117935,1.1941364474594593,9.8183640530944e-05,-0.012845797173213214,0.02399154007434845
176.26927660685033,0.3124038522707086,13.795313323023937,585.0576752269359,0.43466394890559873,0.33773584905660375,,,,,,,0.10791015625,0.00715926,100,0.2,-2.9091022655367853,1.037755012512207,0.6728375554084778,1.365180639922619,9.79828609024e-05,-0.01704608785221353,0.1949348747730255
26.47663458622992,0.4582808092197997,12.291149879808358,69.53231289215393,0.2997082452248014,0.6666666666666666,,,,,,,,,,,,,,,,,
103.53643307089806,0.2304989480838452,15.650964186105393,408.6288923464846,0.5272630868986897,0.21855670103092784,,,,,,,,,,,,,,,,,
,,,,,,937.1666666666666,371,317.66745383333335,11,30,11264,,,,,,,,,,,
117.60247801896185,0.41461427900245695,15.967839509549494,349.6902891078044,0.44041598124408615,0.5506607929515418,,,,,,,0.06591796875,0.005165193,110,0.2,-2.9172959998250008,1.0435417890548706,0.7716260254383087,3.505915503576398,9.778228889190399e-05,-0.011315968993585557,0.2234838902950287
